VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",0.49,0.48578048,0.16013455,0.016013455390930176
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.42,0.47352317,0.16500615,0.01650061458349228
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.48,0.4967571,0.16968577,0.016968576610088347
3,10_Benzene                                                                                                                     ,0.51,0.49394742,0.16200326,0.01620032638311386
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.5,0.49431914,0.15802772,0.015802772343158723
5,13_3-Methoxypropionic acid                                                                                                     ,0.46,0.4806975,0.16360071,0.016360071301460267
6,14_Thiirane                                                                                                                    ,0.5,0.5146228,0.17019814,0.017019814252853392
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.56,0.51960605,0.17609654,0.01760965436697006
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.51,0.5116251,0.17133388,0.01713338792324066
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.48,0.47614005,0.17416283,0.01741628348827362
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.57,0.52818066,0.1652453,0.016524529457092284
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",0.46,0.48273364,0.1521005,0.015210050344467162
12,"28_Nonane, 5-methylene-                                                                                                        ",0.31,0.4472468,0.15044717,0.015044717490673066
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.51,0.49648866,0.15743817,0.015743817389011382
14,"34_Butanal, 2-methyl-                                                                                                          ",0.63,0.5598648,0.15736239,0.015736238658428194
15,36_1-Penten-3-one                                                                                                              ,0.55,0.51186347,0.16987193,0.01698719263076782
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.46,0.49141294,0.17181323,0.01718132346868515
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.51,0.49935868,0.15040681,0.015040680766105652
18,42_Triethylamine                                                                                                               ,0.68,0.56385,0.17442428,0.017442427575588226
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",0.44,0.4755459,0.15391727,0.015391726791858674
20,"54_Heptanal, 2-methyl-                                                                                                         ",0.44,0.47716868,0.1608014,0.016080139577388762
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.5,0.49696144,0.16671169,0.0166711688041687
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.52,0.5014176,0.16000403,0.016000403463840483
23,70_Trimethylene oxide                                                                                                          ,0.55,0.508473,0.16163269,0.016163268685340883
24,"74_1,4-Dioxane                                                                                                                 ",0.44,0.4898904,0.17478624,0.017478623986244203
25,"76_Ethane, methoxy-                                                                                                            ",0.49,0.5114157,0.1842521,0.018425209820270537
26,"80_Propionic acid, 2-mercapto-, allyl ester                                                                                    ",0.48,0.500526,0.17335081,0.01733508110046387
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.55,0.5186703,0.15482217,0.015482217073440552
28,"83_Ethanamine, N-ethyl-                                                                                                        ",0.44,0.4856987,0.1599884,0.01599884033203125
29,"86_Silanediol, dimethyl-                                                                                                       ",0.42,0.45892924,0.16889769,0.016889768838882446
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.53,0.51839304,0.16418692,0.016418692469596863
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",0.51,0.51290965,0.1505849,0.015058490633964538
32,"100_Formic acid, butyl ester                                                                                                   ",0.52,0.5050724,0.16807833,0.016807833313941957
33,"101_1,3-Propanediol                                                                                                            ",0.48,0.4939935,0.17058323,0.017058323323726653
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.47,0.49807918,0.15966038,0.015966038405895232
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.52,0.48914197,0.16983701,0.016983701288700102
36,110_2-Heptene                                                                                                                  ,0.51,0.49119577,0.1711485,0.017114849388599397
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.45,0.471514,0.1644575,0.016445749998092653
38,"119_2-Pentanol, 2-methyl-                                                                                                      ",0.5,0.48822585,0.17129433,0.017129433155059815
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",0.44,0.47789824,0.16421483,0.016421483457088472
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.87,0.67195493,0.15348884,0.015348884463310241
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.59,0.53500736,0.17539364,0.017539364099502564
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.62,0.54973584,0.18326142,0.018326142430305482
43,132_Pyridine                                                                                                                   ,0.56,0.53290576,0.17554985,0.017554984986782075
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.7,0.5741032,0.17462535,0.017462535202503203
45,"135_Disulfide, dimethyl                                                                                                        ",0.41,0.48084283,0.15523507,0.015523506700992585
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.53,0.514056,0.18304586,0.01830458641052246
