VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.87,0.67195493,0.15348884
259,875_4-n-Propylbenzoic acid                                                                                                     ,0.85,0.6432909,0.16066737
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.7,0.5741032,0.17462535
18,42_Triethylamine                                                                                                               ,0.68,0.56385,0.17442428
134,"471_Hexanal, 2-ethyl-                                                                                                          ",0.65,0.54952693,0.15333879
373,1277_Octadecyl octyl ether                                                                                                     ,0.64,0.539777,0.16361463
331,"1163_10,10-Dimethyl-4-acetyl-tricyclo[5.2.1.0(1,5)]decane                                                                      ",0.64,0.5359471,0.15679446
14,"34_Butanal, 2-methyl-                                                                                                          ",0.63,0.5598648,0.15736239
104,"350_Trisiloxane, octamethyl-                                                                                                   ",0.63,0.54770404,0.1604667
129,"449_Cyclohexane, 1,3-dimethyl-                                                                                                 ",0.62,0.55002886,0.1749394
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.62,0.54973584,0.18326142
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.62,0.5451824,0.17931233
205,"677_Decane, 3-methyl-                                                                                                          ",0.62,0.52064437,0.15539284
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.61,0.5490948,0.19181563
233,"781_trans-1,2-Dimethylsilacyclohexane                                                                                          ",0.61,0.5124631,0.16687745
144,496_(E)1-Allyl-2-methylcyclohexanol                                                                                            ,0.6,0.5419243,0.1637695
423,1516_Tetradecanoic acid                                                                                                        ,0.6,0.5408199,0.18621407
181,"614_Butanedioic acid, dimethyl ester                                                                                           ",0.59,0.54447263,0.1850753
173,"588_Propanenitrile, 2,2'-azobis[2-methyl-                                                                                      ",0.59,0.5362886,0.1798707
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.59,0.53500736,0.17539364
414,"1472_Benzenecarbothioic acid, S-ethyl ester                                                                                    ",0.59,0.5258104,0.18753956
286,"1016_Benzothiazole, 2-methyl-                                                                                                  ",0.59,0.52305365,0.17264369
410,"1452_Silane, diethoxydiphenyl-                                                                                                 ",0.59,0.5162677,0.16077095
164,"551_2-Methyl-1,6-dioxaspiro[4.4]nonane                                                                                         ",0.59,0.5161683,0.17267056
113,"378_2,2,3-Triethyloxirane                                                                                                      ",0.58,0.54326564,0.17509925
136,"474_2-Heptenal, (Z)-                                                                                                           ",0.58,0.53769034,0.18703896
229,"752_Hexanoic acid, 2-ethyl-                                                                                                    ",0.58,0.53648585,0.17186189
249,"827_p-Acetophenetidide, N-methyl-                                                                                              ",0.58,0.5265331,0.18062845
383,1315_Eicosane                                                                                                                  ,0.58,0.52587414,0.17751557
108,"361_1,2-Propanediol diformate                                                                                                  ",0.58,0.5258042,0.15811172
186,"624_Cyclopropanecarboxylic acid,4-methylpentyl ester                                                                           ",0.58,0.5221635,0.17243813
83,"272_Butanoic acid, 2-oxo-, methyl ester                                                                                        ",0.58,0.51808745,0.16113733
313,1102_N-(tert-Butyldimethylsilyl)-9-ethyl-9H-carbazol-3-amine                                                                   ,0.58,0.5162696,0.161279
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.58,0.51526225,0.1858296
55,"180_1-Penten-3-one, 2-methyl-                                                                                                  ",0.58,0.50587094,0.15710564
90,"301_Benzene, chloro-                                                                                                           ",0.57,0.53219587,0.16108368
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.57,0.52818066,0.1652453
237,"787_Acetamide, 2-(3-cyano-4-methoxymethyl-6-methylpyridin-2-ylsulfanyl)-N-(3-trifluoromethylphenyl)-                           ",0.57,0.5279652,0.15202093
280,984_1-Decanol                                                                                                                  ,0.57,0.5276332,0.18644102
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.57,0.52738184,0.1608004
176,592_Tetramethylbutanedinitrile                                                                                                 ,0.57,0.52425295,0.16737348
397,1368_Benzophenone                                                                                                              ,0.57,0.52143717,0.15885402
189,"629_Benzaldehyde, 2-hydroxy-                                                                                                   ",0.57,0.51778555,0.15527387
161,544_2-Octanone                                                                                                                 ,0.57,0.5101626,0.18389083
228,749_Isophorone                                                                                                                 ,0.57,0.49525353,0.17385617
43,132_Pyridine                                                                                                                   ,0.56,0.53290576,0.17554985
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",0.56,0.52846,0.15674175
334,"1173_Spiro[5.5]undec-2-ene, 3,7,7-trimethyl-11-methylene-, (-)-                                                                ",0.56,0.5247073,0.16027631
348,"1198_Phthalic acid, methyl neopentyl ester                                                                                     ",0.56,0.521903,0.15814045
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.56,0.51960605,0.17609654
346,"1196_(-)-Neoclovene-(I), dihydro-                                                                                              ",0.56,0.51648825,0.15852484
116,"386_Cyclohexa-1,3-diene, 5,6-diethyl-                                                                                          ",0.56,0.5152097,0.17544587
316,1111_Butyl benzoate                                                                                                            ,0.56,0.51180506,0.15687594
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.56,0.5103235,0.17862238
185,"623_3-Benzofurancarboxaldehyde, 2,3-dihydro-3-methyl-                                                                          ",0.55,0.5269207,0.17897724
236,"784_1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol                                                            ",0.55,0.5242568,0.1646017
319,"1125_2,4,4,6,6,8,8-Heptamethyl-1-nonene                                                                                        ",0.55,0.52159524,0.17906797
291,"1033_Cyclohexasiloxane, dodecamethyl-                                                                                          ",0.55,0.5206144,0.1645915
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.55,0.5186703,0.15482217
289,"1022_2-Cyclohexen-1-one, 4-butyl-3-methoxy-                                                                                    ",0.55,0.5179534,0.16891819
88,291_Tetrafluoromethane                                                                                                         ,0.55,0.5174708,0.16082402
76,240_Tetrachloroethylene                                                                                                        ,0.55,0.5158725,0.16079788
141,"488_Tridecane, 6-methyl-                                                                                                       ",0.55,0.51585966,0.16946065
15,36_1-Penten-3-one                                                                                                              ,0.55,0.51186347,0.16987193
329,"1159_5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-.alpha.,.alpha.,3,8-tetramethyl-, acetate, [3S-(3.alpha.,5.alpha.,8.alpha.)]-",0.55,0.5114485,0.16309072
409,"1448_Benzene, (3-iodo-1-methoxypropyl)-                                                                                        ",0.55,0.5107049,0.16990094
23,70_Trimethylene oxide                                                                                                          ,0.55,0.508473,0.16163269
166,567_Decane                                                                                                                     ,0.55,0.5069252,0.17729118
301,"1066_Hexanamide, N-methallyl-                                                                                                  ",0.55,0.5027622,0.16508618
264,900_Benzothiazole                                                                                                              ,0.55,0.49699128,0.1667716
70,"234_Hexane, 2,2,4-trimethyl-                                                                                                   ",0.54,0.531658,0.16103351
231,"771_1H-Indene, 2,3-dihydro-5-methyl-                                                                                           ",0.54,0.5232334,0.1526174
413,"1465_1-Penten-3-one, 2-methyl-1-(2,2,6-trimethylcyclohexen-1-yl)-                                                              ",0.54,0.5178766,0.17057173
317,"1112_Acetic acid, trifluoro-, undecyl ester                                                                                    ",0.54,0.5105788,0.15927596
312,"1100_Ethanone, 1-[4-(1-methylethenyl)phenyl]-                                                                                  ",0.54,0.5101687,0.16481014
425,"1556_Kaur-16-ene, (8.beta.,13.beta.)-                                                                                          ",0.54,0.50759596,0.15650679
311,1099_2-Undecenal                                                                                                               ,0.54,0.5069291,0.17466293
217,706_2-Butoxyethyl acetate                                                                                                      ,0.54,0.50548,0.14649598
97,"335_2-Ethylthiolane, S,S-dioxide                                                                                               ",0.54,0.5030782,0.15686725
353,"1212_1-Cyclohexene, 1,3,3-trimethyl-2-(1-methylbut-1-en-3-on-1-yl)-                                                            ",0.54,0.50250655,0.17231259
114,"383_3,3-Dichloropropyne                                                                                                        ",0.54,0.4993311,0.17413914
260,"888_Benzaldehyde, 2,4-dimethyl-                                                                                                ",0.54,0.49866733,0.17891581
135,"473_Benzoic acid, 2-formyl-4,6-dimethoxy-, 8,8-dimethoxyoct-2-yl ester                                                         ",0.54,0.4953942,0.14973405
163,548_4-Octanol                                                                                                                  ,0.54,0.49144948,0.17815985
399,"1376_Cyclooctasiloxane, hexadecamethyl-                                                                                        ",0.54,0.48825127,0.18508475
244,"807_Benzene, (2-methylbutyl)-                                                                                                  ",0.54,0.4861896,0.15887783
119,"392_1-Butyl(dimethyl)silyloxy-2,2-dimethylpropane                                                                              ",0.53,0.5234959,0.179925
79,"259_Heptane, 3,4,5-trimethyl-                                                                                                  ",0.53,0.520409,0.12887582
272,"949_Heptadecane, 2,6,10,15-tetramethyl-                                                                                        ",0.53,0.5200961,0.16668476
148,"502_Oxalic acid, butyl 2-ethylhexyl ester                                                                                      ",0.53,0.51900977,0.1839095
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.53,0.51839304,0.16418692
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.53,0.514056,0.18304586
132,465_3-Ethyl-4-methylpentan-1-ol                                                                                                ,0.53,0.5133926,0.17340286
304,"1074_Benzene, 1-(1,1-dimethylethyl)-3-ethyl-                                                                                   ",0.53,0.5110978,0.17760623
252,835_1-Nonanol                                                                                                                  ,0.53,0.510135,0.16037725
255,"846_Ethanol, 1-(2-butoxyethoxy)-                                                                                               ",0.53,0.50883365,0.17161255
368,1252_n-Pentadecanol                                                                                                            ,0.53,0.5047918,0.15506628
281,"990_3,4-Dimethylcumene                                                                                                         ",0.53,0.50359845,0.16793387
