VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",1.0,0.5560663,0.0,0.0
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.0,0.49099022,0.0,0.0
2,6_Cyclopropyl methyl carbinol                                                                                                  ,1.0,0.6250092,0.0,0.0
3,10_Benzene                                                                                                                     ,0.0,0.36519474,0.0,0.0
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",1.0,0.5958155,0.0,0.0
5,13_3-Methoxypropionic acid                                                                                                     ,1.0,0.5429097,0.0,0.0
6,14_Thiirane                                                                                                                    ,1.0,0.6793935,0.0,0.0
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.0,0.4054434,0.0,0.0
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.0,0.29029086,0.0,0.0
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.0,0.32772034,0.0,0.0
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,1.0,0.66801554,0.0,0.0
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",1.0,0.5714093,0.0,0.0
12,"28_Nonane, 5-methylene-                                                                                                        ",1.0,0.5041126,0.0,0.0
13,"29_Disiloxane, hexamethyl-                                                                                                     ",1.0,0.57795423,0.0,0.0
14,"34_Butanal, 2-methyl-                                                                                                          ",1.0,0.5782167,0.0,0.0
15,36_1-Penten-3-one                                                                                                              ,1.0,0.58613443,0.0,0.0
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",1.0,0.54117,0.0,0.0
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.0,0.35494468,0.0,0.0
18,42_Triethylamine                                                                                                               ,0.0,0.49006206,0.0,0.0
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",1.0,0.670782,0.0,0.0
20,"54_Heptanal, 2-methyl-                                                                                                         ",1.0,0.58040965,0.0,0.0
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.0,0.4693374,0.0,0.0
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.0,0.28868967,0.0,0.0
23,70_Trimethylene oxide                                                                                                          ,0.0,0.4001002,0.0,0.0
24,"74_1,4-Dioxane                                                                                                                 ",0.0,0.4995999,0.0,0.0
25,"76_Ethane, methoxy-                                                                                                            ",1.0,0.5998211,0.0,0.0
26,"80_Propionic acid, 2-mercapto-, allyl ester                                                                                    ",1.0,0.55287385,0.0,0.0
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",1.0,0.66578746,0.0,0.0
28,"83_Ethanamine, N-ethyl-                                                                                                        ",1.0,0.58765614,0.0,0.0
29,"86_Silanediol, dimethyl-                                                                                                       ",0.0,0.45789814,0.0,0.0
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",1.0,0.7064935,0.0,0.0
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",1.0,0.6379809,0.0,0.0
32,"100_Formic acid, butyl ester                                                                                                   ",0.0,0.36126605,0.0,0.0
33,"101_1,3-Propanediol                                                                                                            ",1.0,0.6685403,0.0,0.0
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.0,0.38042164,0.0,0.0
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.0,0.41413158,0.0,0.0
36,110_2-Heptene                                                                                                                  ,1.0,0.64301264,0.0,0.0
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.0,0.41048172,0.0,0.0
38,"119_2-Pentanol, 2-methyl-                                                                                                      ",0.0,0.46529627,0.0,0.0
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",1.0,0.6694442,0.0,0.0
40,"126_2,4-Pentadienenitrile                                                                                                      ",1.0,0.73264205,0.0,0.0
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",1.0,0.5116239,0.0,0.0
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.0,0.44590694,0.0,0.0
43,132_Pyridine                                                                                                                   ,0.0,0.4595045,0.0,0.0
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",1.0,0.5396017,0.0,0.0
45,"135_Disulfide, dimethyl                                                                                                        ",1.0,0.51529086,0.0,0.0
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.0,0.3694933,0.0,0.0
47,"147_Methanamine, N,N-difluoro-                                                                                                 ",0.0,0.48261893,0.0,0.0
48,148_Propanoic acid                                                                                                             ,1.0,0.6547053,0.0,0.0
49,155_Tetraethylammonium chloride                                                                                                ,0.0,0.4486682,0.0,0.0
50,"160_Butanoic acid, 2-amino-4-(methylsulfinyl)-, (.+/-.)-                                                                       ",1.0,0.5871134,0.0,0.0
51,"162_3-Hexene, 2,2-dimethyl-, (Z)-                                                                                              ",1.0,0.5431756,0.0,0.0
52,172_Toluene                                                                                                                    ,0.0,0.28672776,0.0,0.0
53,174_1-Methyl-1-ethoxycyclobutane                                                                                               ,0.0,0.4806276,0.0,0.0
54,"176_Boron, trihydro(pyridine)-, (T-4)-                                                                                         ",0.0,0.438957,0.0,0.0
55,"180_1-Penten-3-one, 2-methyl-                                                                                                  ",0.0,0.33958986,0.0,0.0
56,"182_2,2,4,4-Tetramethyloctane                                                                                                  ",1.0,0.58122826,0.0,0.0
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",1.0,0.53095603,0.0,0.0
58,"194_D-Erythro-Tetrofuranose-3-ulose, 4-C-cyclopropyl-1,2-O-isopropylidene-, .alpha.-                                           ",1.0,0.56232965,0.0,0.0
59,"203_1,3-Dioxolane, 2-ethyl-4-methyl-                                                                                           ",1.0,0.54291946,0.0,0.0
60,214_Cyclopentanone                                                                                                             ,1.0,0.59473115,0.0,0.0
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.0,0.34541512,0.0,0.0
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",1.0,0.71930945,0.0,0.0
63,223_4-Ethylbenzamide                                                                                                           ,0.0,0.4362305,0.0,0.0
64,"224_2-Methoxy-1,3-dioxolane                                                                                                    ",0.0,0.30110785,0.0,0.0
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.0,0.422806,0.0,0.0
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.0,0.3653189,0.0,0.0
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.0,0.37441096,0.0,0.0
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.0,0.35078946,0.0,0.0
69,"232_Isovaleric acid, 3-methylbutyl-2 ester                                                                                     ",1.0,0.50614536,0.0,0.0
70,"234_Hexane, 2,2,4-trimethyl-                                                                                                   ",0.0,0.32898825,0.0,0.0
71,235_3-Nonen-5-one                                                                                                              ,1.0,0.60053515,0.0,0.0
72,236_Hexanal                                                                                                                    ,1.0,0.6293386,0.0,0.0
73,"237_Ethanol, 2-propoxy-                                                                                                        ",1.0,0.7185476,0.0,0.0
74,238_2-Methyl-4-methoxy-1-butanol                                                                                               ,0.0,0.42119512,0.0,0.0
75,"239_1-Butene, 2,3,3-trimethyl-                                                                                                 ",1.0,0.52204907,0.0,0.0
76,240_Tetrachloroethylene                                                                                                        ,0.0,0.40706375,0.0,0.0
77,249_Butanoic acid                                                                                                              ,0.0,0.4374668,0.0,0.0
78,"256_Propanoic acid, propyl ester                                                                                               ",1.0,0.551543,0.0,0.0
79,"259_Heptane, 3,4,5-trimethyl-                                                                                                  ",1.0,0.5226427,0.0,0.0
80,"262_1,5-Dimethyl-6-oxa-bicyclo[3.1.0]hexane                                                                                    ",0.0,0.49037835,0.0,0.0
81,"266_Acetic acid, butyl ester                                                                                                   ",0.0,0.36362678,0.0,0.0
82,"268_Cyclotrisiloxane, hexamethyl-                                                                                              ",1.0,0.5323815,0.0,0.0
83,"272_Butanoic acid, 2-oxo-, methyl ester                                                                                        ",1.0,0.6661728,0.0,0.0
84,"273_1-Butyne, 3-chloro-                                                                                                        ",1.0,0.7444019,0.0,0.0
85,"274_Hexane, 3,3-dimethyl-                                                                                                      ",0.0,0.4791983,0.0,0.0
86,283_3-Furaldehyde                                                                                                              ,1.0,0.52414095,0.0,0.0
87,288_4-Hexen-3-one                                                                                                              ,0.0,0.48922145,0.0,0.0
88,291_Tetrafluoromethane                                                                                                         ,0.0,0.46580976,0.0,0.0
89,"296_.beta.-D-Glucopyranose, 1,6-anhydro-                                                                                       ",1.0,0.66169065,0.0,0.0
90,"301_Benzene, chloro-                                                                                                           ",1.0,0.5151289,0.0,0.0
91,316_2-Ethyl-5-propylcyclopentanone                                                                                             ,1.0,0.6578919,0.0,0.0
92,317_Ethylbenzene                                                                                                               ,0.0,0.45506105,0.0,0.0
93,321_4-Hydroxy-3-hexanone                                                                                                       ,0.0,0.33632907,0.0,0.0
94,"325_2,6-Octadiene-4,5-diol                                                                                                     ",1.0,0.62263656,0.0,0.0
95,"329_Succinic acid, but-3-yn-2-yl tetrahydrofurfuryl ester                                                                      ",0.0,0.3413642,0.0,0.0
96,332_N-(2-Methoxyethyl)-tert-butylamine                                                                                         ,0.0,0.40425402,0.0,0.0
97,"335_2-Ethylthiolane, S,S-dioxide                                                                                               ",1.0,0.6085331,0.0,0.0
98,336_1-Methylcyclopropanemethanol                                                                                               ,1.0,0.65244025,0.0,0.0
99,337_2-Methoxythiophene                                                                                                         ,1.0,0.5547814,0.0,0.0
100,338_1-Methoxycyclohexane                                                                                                       ,0.0,0.42122796,0.0,0.0
101,"339_2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-                                                                               ",0.0,0.45275766,0.0,0.0
102,"340_Acetaldehyde, butylhydrazone                                                                                               ",1.0,0.50280607,0.0,0.0
103,"344_3-Cyclobutene-1,2-dione, 3-phenyl-                                                                                         ",0.0,0.44414037,0.0,0.0
104,"350_Trisiloxane, octamethyl-                                                                                                   ",1.0,0.60587156,0.0,0.0
105,353_3-Ethyl-2-nonanone                                                                                                         ,1.0,0.7524223,0.0,0.0
106,"358_Ethanone, 1-(1-cyclohexen-1-yl)-                                                                                           ",0.0,0.24737343,0.0,0.0
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",1.0,0.7133804,0.0,0.0
108,"361_1,2-Propanediol diformate                                                                                                  ",1.0,0.7274415,0.0,0.0
109,362_Hypoglycin                                                                                                                 ,0.0,0.47276217,0.0,0.0
110,363_Cyclohexylmethylsilane                                                                                                     ,1.0,0.6170419,0.0,0.0
