VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
333,1172_2-Cyanoquinoxaline                                                                                                        ,1.0,0.83079296,0.0
319,"1125_2,4,4,6,6,8,8-Heptamethyl-1-nonene                                                                                        ",1.0,0.811839,0.0
378,1297_aR-Himachalene                                                                                                            ,1.0,0.8092829,0.0
366,1248_Dodecanenitrile                                                                                                           ,1.0,0.80600774,0.0
320,"1130_2-Butanone, 1-(1,3-benzodioxol-5-yl)-                                                                                     ",1.0,0.7975216,0.0
362,1240_1-Dodecanol                                                                                                               ,1.0,0.7939905,0.0
314,"1103_Ethanone, 1-(2,3-dihydro-1H-inden-5-yl)-                                                                                  ",1.0,0.7932315,0.0
149,503_5-Nonanol                                                                                                                  ,1.0,0.77502644,0.0
312,"1100_Ethanone, 1-[4-(1-methylethenyl)phenyl]-                                                                                  ",1.0,0.75715494,0.0
105,353_3-Ethyl-2-nonanone                                                                                                         ,1.0,0.7524223,0.0
156,"527_Dodecane, 2,2,11,11-tetramethyl-                                                                                           ",1.0,0.7496955,0.0
84,"273_1-Butyne, 3-chloro-                                                                                                        ",1.0,0.7444019,0.0
415,"1473_Benzene, (1-butyloctyl)-                                                                                                  ",1.0,0.74303544,0.0
245,"808_2,4,4,6-Tetramethyl-6-phenylheptane                                                                                        ",1.0,0.7430262,0.0
261,889_Dodecyl nonyl ether                                                                                                        ,1.0,0.7415729,0.0
229,"752_Hexanoic acid, 2-ethyl-                                                                                                    ",1.0,0.74104077,0.0
397,1368_Benzophenone                                                                                                              ,1.0,0.735252,0.0
165,565_Propanenitrile                                                                                                             ,1.0,0.7328452,0.0
40,"126_2,4-Pentadienenitrile                                                                                                      ",1.0,0.73264205,0.0
122,"399_2-Hexanol, 5-methyl-                                                                                                       ",1.0,0.72784936,0.0
108,"361_1,2-Propanediol diformate                                                                                                  ",1.0,0.7274415,0.0
112,370_o-Xylene                                                                                                                   ,1.0,0.72673416,0.0
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",1.0,0.71930945,0.0
73,"237_Ethanol, 2-propoxy-                                                                                                        ",1.0,0.7185476,0.0
223,720_Linalool                                                                                                                   ,1.0,0.71755904,0.0
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",1.0,0.7133804,0.0
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",1.0,0.7064935,0.0
212,"696_Silicic acid, diethyl bis(trimethylsilyl) ester                                                                            ",1.0,0.705336,0.0
137,479_3-Ethylcyclopentanone                                                                                                      ,1.0,0.6999049,0.0
270,947_Geraniol                                                                                                                   ,1.0,0.69269085,0.0
326,"1150_1H-3a,7-Methanoazulene, octahydro-1,4,9,9-tetramethyl-, (1.alpha.,3a.alpha.,4.beta.,7.alpha.,8a.beta.)-                   ",1.0,0.69089955,0.0
