Repeat,Seed,Best_Epoch,Threshold,Selected_Features,Val_Accuracy,Val_F1,Val_AUC,Val_Joint,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
0,42,26,0.6699999999999997,422,0.78125,0.631578947368421,0.6363636363636364,0.631578947368421,0.5454545454544959,0.9047619047618618,0.7499999999999063,0.7916666666666338,0.78125,0.725108225108225,0.631578947368421,0.8528138528138528
1,1042,9,0.5399999999999998,386,0.78125,0.72,0.7705627705627706,0.72,0.36363636363633056,0.7142857142856803,0.39999999999996,0.6818181818181509,0.59375,0.538961038961039,0.38095238095238093,0.5844155844155844
2,2042,47,0.5499999999999998,441,0.8125,0.75,0.761904761904762,0.75,0.7272727272726611,0.7142857142856803,0.5714285714285307,0.8333333333332871,0.71875,0.7207792207792207,0.64,0.8354978354978355
3,3042,61,0.7899999999999996,469,0.84375,0.7058823529411765,0.6623376623376623,0.7058823529411765,0.6363636363635785,0.9523809523809071,0.8749999999998906,0.8333333333332986,0.84375,0.7943722943722944,0.7368421052631579,0.8744588744588744
4,4042,53,0.48999999999999977,446,0.90625,0.8695652173913043,0.8744588744588745,0.8695652173913043,0.7272727272726611,0.5714285714285443,0.47058823529409,0.7999999999999466,0.625,0.6493506493506493,0.5714285714285714,0.748917748917749
5,5042,39,0.6399999999999997,453,0.9375,0.9090909090909091,0.9264069264069263,0.9090909090909091,0.45454545454541323,0.7619047619047257,0.49999999999995,0.7272727272726943,0.65625,0.6082251082251082,0.47619047619047616,0.6796536796536796
6,6042,88,0.14999999999999997,494,0.65625,0.6666666666666666,0.7316017316017316,0.65625,0.9999999999999091,0.14285714285713608,0.37931034482757314,0.9999999999996666,0.4375,0.5714285714285714,0.55,0.7965367965367965
7,7042,53,0.3999999999999998,495,0.90625,0.8695652173913043,0.8831168831168832,0.8695652173913043,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7445887445887446
8,8042,40,0.7799999999999997,462,0.9375,0.9090909090909091,0.948051948051948,0.9090909090909091,0.45454545454541323,0.9523809523809071,0.8333333333331945,0.7692307692307397,0.78125,0.7034632034632035,0.5882352941176471,0.7965367965367965
9,9042,70,0.4999999999999998,475,0.75,0.6666666666666666,0.7575757575757576,0.6666666666666666,0.7272727272726611,0.47619047619045357,0.42105263157892525,0.7692307692307101,0.5625,0.6017316017316017,0.5333333333333333,0.5411255411255411
10,10042,58,0.6799999999999997,461,0.90625,0.8571428571428571,0.8181818181818181,0.8571428571428571,0.27272727272724795,0.8571428571428164,0.4999999999999167,0.6923076923076658,0.65625,0.5649350649350648,0.35294117647058826,0.5844155844155844
11,11042,17,0.6099999999999998,437,0.8125,0.7692307692307693,0.8181818181818181,0.7692307692307693,0.45454545454541323,0.7619047619047257,0.49999999999995,0.7272727272726943,0.65625,0.6082251082251082,0.47619047619047616,0.554112554112554
12,12042,12,0.7099999999999996,394,0.875,0.8,0.7705627705627706,0.8,0.18181818181816528,0.9999999999999525,0.9999999999995,0.6999999999999768,0.71875,0.5909090909090909,0.3076923076923077,0.5974025974025974
13,13042,93,0.4299999999999998,500,0.8125,0.7692307692307693,0.8095238095238095,0.7692307692307693,0.8181818181817438,0.7142857142856803,0.59999999999996,0.8823529411764188,0.75,0.7662337662337663,0.6923076923076923,0.8571428571428572
14,14042,17,0.5399999999999998,408,0.875,0.8,0.7922077922077922,0.8,0.45454545454541323,0.666666666666635,0.41666666666663194,0.6999999999999651,0.59375,0.5606060606060606,0.43478260869565216,0.6753246753246753
15,15042,70,0.5299999999999998,463,0.8125,0.75,0.7705627705627706,0.75,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.7575757575757576
16,16042,24,0.6599999999999997,446,0.875,0.8,0.8311688311688312,0.8,0.36363636363633056,0.8571428571428164,0.5714285714284898,0.7199999999999712,0.6875,0.6103896103896104,0.4444444444444444,0.5497835497835497
17,17042,1,0.48999999999999977,387,0.78125,0.72,0.8268398268398269,0.72,0.45454545454541323,0.5238095238094989,0.3333333333333111,0.6470588235293737,0.5,0.48917748917748916,0.38461538461538464,0.4025974025974026
18,18042,34,0.5799999999999997,439,0.75,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.45454545454541323,0.8571428571428164,0.6249999999999218,0.7499999999999688,0.71875,0.6558441558441558,0.5263157894736842,0.5974025974025974
19,19042,31,0.7499999999999997,458,0.8125,0.7,0.7748917748917749,0.7,0.18181818181816528,0.9047619047618618,0.499999999999875,0.6785714285714044,0.65625,0.5432900432900433,0.26666666666666666,0.6190476190476191
20,20042,16,0.4999999999999998,397,0.90625,0.8421052631578947,0.8528138528138528,0.8421052631578947,0.8181818181817438,0.6190476190475896,0.5294117647058513,0.8666666666666089,0.6875,0.7186147186147187,0.6428571428571429,0.7878787878787878
21,21042,27,0.3899999999999999,440,0.71875,0.6896551724137931,0.696969696969697,0.6896551724137931,0.7272727272726611,0.4285714285714082,0.39999999999998004,0.7499999999999375,0.53125,0.577922077922078,0.5161290322580645,0.7272727272727273
22,22042,1,0.3999999999999998,393,0.59375,0.5806451612903226,0.6147186147186148,0.5806451612903226,0.8181818181817438,0.23809523809522679,0.3599999999999856,0.7142857142856123,0.4375,0.5281385281385281,0.5,0.5324675324675325
