VOC_Index,VOC_Name,Selection_Frequency,Selected_Count
753,"1563_Benzene, 1-methyl-4-(1,2,2-trimethylcyclopentyl)-, (R)-",0.64,64.0
758,"1597_Benzenebutanal, .gamma.,4-dimethyl-",0.63,63.0
691,1347_Unknown,0.63,63.0
216,363_Cyclohexylmethylsilane,0.63,63.0
611,"1198_Phthalic acid, methyl neopentyl ester",0.62,62.0
228,385_n-Heptyl acrylate,0.62,62.0
637,1248_Dodecanenitrile,0.62,62.0
569,"1112_Acetic acid, trifluoro-, undecyl ester",0.62,62.0
202,"339_2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-",0.61,61.0
653,1269_Unknown,0.61,61.0
334,"590_2-Propanol, 1-(2-ethoxypropoxy)-",0.61,61.0
441,805_Unknown,0.61,61.0
706,"1392_1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tri-2-propenyl-",0.61,61.0
63,97_Unknown,0.6,60.0
252,"422_1-Pentanol, TBDMS derivative",0.6,60.0
6,9_Unknown,0.6,60.0
481,903_Unknown,0.6,60.0
651,1267_Unknown,0.6,60.0
25,37_Unknown,0.6,60.0
761,1645_Palmitoleic acid,0.6,60.0
542,"1060_Cyclohexanol, 4-(1,1-dimethylethyl)-, acetate, cis-",0.6,60.0
582,1140_Unknown,0.59,59.0
475,889_Dodecyl nonyl ether,0.59,59.0
597,"1175_4,7-methano-1H-inden-5-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",0.59,59.0
755,1569_Unknown,0.59,59.0
51,"80_Propionic acid, 2-mercapto-, allyl ester",0.59,59.0
423,"771_1H-Indene, 2,3-dihydro-5-methyl-",0.59,59.0
566,"1103_Ethanone, 1-(2,3-dihydro-1H-inden-5-yl)-",0.59,59.0
355,"626_3,5-Octadien-2-ol",0.59,59.0
426,778_Unknown,0.58,58.0
622,"1217_Silane, trichlorooctadecyl-",0.58,58.0
487,"914_Pentasiloxane, dodecamethyl-",0.58,58.0
136,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane",0.58,58.0
613,1201_Dimethyl phthalate,0.58,58.0
243,405_Unknown,0.58,58.0
591,"1159_5-Azulenemethanol, 1,2,3,4,5,6,7,8-octahydro-.alpha.,.alpha.,3,8-tetramethyl-, acetate, [3S-(3.alpha.,5.alpha.,8.alpha.)]-",0.58,58.0
402,716_Unknown,0.58,58.0
603,"1186_1,1,7,7a-Tetramethyl-1a,2,6,7,7a,7b-hexahydro-1H-cyclopropa[a]naphthalene",0.58,58.0
195,332_N-(2-Methoxyethyl)-tert-butylamine,0.58,58.0
540,1057_Unknown,0.58,58.0
771,1670_Unknown,0.58,58.0
28,42_Triethylamine,0.58,58.0
217,364_3-Heptanone,0.58,58.0
512,984_1-Decanol,0.58,58.0
329,"575_Cyclopentene, 1,4-dimethyl-5-(1-methylethyl)-",0.58,58.0
98,148_Propanoic acid,0.58,58.0
430,"783_Cyclohexanol, 1-butyl-",0.57,57.0
432,785_Unknown,0.57,57.0
445,"815_Acetic acid, phenylmethyl ester",0.57,57.0
55,"86_Silanediol, dimethyl-",0.57,57.0
94,140_Unknown,0.57,57.0
685,1340_Diethyl Phthalate,0.57,57.0
304,528_Phenol,0.57,57.0
303,"527_Dodecane, 2,2,11,11-tetramethyl-",0.57,57.0
50,79_Unknown,0.57,57.0
9,14_Thiirane,0.57,57.0
721,1439_Unknown,0.57,57.0
720,"1436_Pentanoic acid, 6-ethyl-3-octyl ester",0.57,57.0
506,968_Unknown,0.57,57.0
486,"912_Cyclohexane, isothiocyanato-",0.57,57.0
200,337_2-Methoxythiophene,0.57,57.0
602,"1185_Ethanone, 1,1'-(1,4-phenylene)bis-",0.57,57.0
33,51_Unknown,0.57,57.0
773,1698_Unknown,0.57,57.0
210,351_Unknown,0.57,57.0
313,544_2-Octanone,0.57,57.0
747,1510_Unknown,0.57,57.0
673,1315_Eicosane,0.56,56.0
697,1368_Benzophenone,0.56,56.0
44,71_Unknown,0.56,56.0
553,"1074_Benzene, 1-(1,1-dimethylethyl)-3-ethyl-",0.56,56.0
208,349_Unknown,0.56,56.0
538,1053_Unknown,0.56,56.0
373,"663_2,5-Hexanediol, 2,5-dimethyl-",0.56,56.0
522,"1017_Naphthalene, 1-methyl-",0.56,56.0
525,1024_Unknown,0.56,56.0
363,"637_4,4'-Bi-1,3,2-dioxaborolane, 2,2'-diethyl-",0.56,56.0
518,"1012_Phenol, 2-methyl-5-(1-methylethyl)-",0.56,56.0
124,"188_2-Hexene, 3-methyl-, (Z)-",0.56,56.0
169,271_Unknown,0.56,56.0
165,267_Unknown,0.56,56.0
324,569_Octanal,0.56,56.0
149,235_3-Nonen-5-one,0.56,56.0
156,247_Unknown,0.56,56.0
605,1189_.gamma.-Neoclovene,0.56,56.0
164,"266_Acetic acid, butyl ester",0.56,56.0
135,"216_Propane, 1,3-dimethoxy-",0.56,56.0
699,1370_Unknown,0.56,56.0
302,525_1-Octen-3-ol,0.56,56.0
294,511_Unknown,0.56,56.0
662,1293_Unknown,0.56,56.0
694,"1358_Cedrane, 8-propoxy-",0.56,56.0
102,153_Unknown,0.56,56.0
389,695_Unknown,0.56,56.0
10,"17_Furan, 2,3-dihydro-4-methyl-",0.56,56.0
671,"1312_Heptasiloxane, hexadecamethyl-",0.56,56.0
609,"1196_(-)-Neoclovene-(I), dihydro-",0.56,56.0
482,906_Unknown,0.56,56.0
456,845_3-Decanone,0.56,56.0
379,675_Cyclooctyl alcohol,0.56,56.0
470,878_Unknown,0.56,56.0
263,"451_2-Heptanone, 4-methyl-",0.56,56.0
146,"232_Isovaleric acid, 3-methylbutyl-2 ester",0.56,56.0
400,"714_Benzoic acid, methyl ester",0.55,55.0
749,"1526_.alpha.-Phellandrene, dimer",0.55,55.0
763,"1653_1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",0.55,55.0
746,"1507_1,3-Cyclopentadiene, 5,5-dimethyl-1,2-Dipropyl-",0.55,55.0
214,"361_1,2-Propanediol diformate",0.55,55.0
166,"268_Cyclotrisiloxane, hexamethyl-",0.55,55.0
351,"620_1,3,2-Dioxaborolane, 2,4-diethyl-",0.55,55.0
255,"431_1-Hexyn-3-ol, 3-methyl-",0.55,55.0
657,"1281_Eicosane, 1-iodo-",0.55,55.0
233,390_Unknown,0.55,55.0
230,"387_2-Propenoic acid, butyl ester",0.55,55.0
83,129_Unknown,0.55,55.0
686,1341_Unknown,0.55,55.0
0,"1_2-Butenal, (Z)-",0.55,55.0
15,23_Unknown,0.55,55.0
311,540_Unknown,0.55,55.0
396,"709_4-Heptanol, 2,6-dimethyl-",0.55,55.0
317,549_Unknown,0.55,55.0
