VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",0.35,0.4313842,0.16877478,0.01687747836112976
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.27,0.40278786,0.17447013,0.017447012662887573
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.43,0.45826608,0.1816548,0.018165479600429534
3,10_Benzene                                                                                                                     ,0.29,0.4319196,0.15983097,0.01598309725522995
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.31,0.41958645,0.17773545,0.017773544788360594
5,13_3-Methoxypropionic acid                                                                                                     ,0.27,0.40617058,0.1807922,0.018079219758510588
6,14_Thiirane                                                                                                                    ,0.44,0.47461686,0.19272184,0.01927218437194824
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.25,0.38594857,0.17664032,0.017664031684398653
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.55,0.5226326,0.16747434,0.016747434437274934
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.37,0.43605804,0.16883846,0.01688384562730789
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.36,0.42479378,0.1826657,0.018266570568084717
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",0.55,0.48230216,0.18221587,0.01822158694267273
12,"28_Nonane, 5-methylene-                                                                                                        ",0.32,0.42323798,0.17230776,0.017230775952339173
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.39,0.46493343,0.17076418,0.017076417803764343
14,"34_Butanal, 2-methyl-                                                                                                          ",0.49,0.49934536,0.16816802,0.016816802322864532
15,36_1-Penten-3-one                                                                                                              ,0.37,0.4562099,0.19367002,0.019367001950740814
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.33,0.43311635,0.1913167,0.0191316694021225
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.26,0.41946012,0.15873279,0.01587327867746353
18,42_Triethylamine                                                                                                               ,0.68,0.5963984,0.2069249,0.02069249004125595
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",0.28,0.41139612,0.20154211,0.020154210925102233
20,"54_Heptanal, 2-methyl-                                                                                                         ",0.51,0.5117522,0.16746669,0.016746668517589568
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.38,0.46230155,0.19252095,0.019252094626426696
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.3,0.4163167,0.1797996,0.01797996014356613
23,70_Trimethylene oxide                                                                                                          ,0.33,0.43537465,0.18323146,0.018323145806789398
