VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",0.41,0.46604064,0.16744988,0.016744987666606904
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.34,0.44384682,0.17167765,0.017167764902114867
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.53,0.50444585,0.17695375,0.01769537478685379
3,10_Benzene                                                                                                                     ,0.38,0.44547635,0.16542009,0.016542008519172667
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.41,0.4685642,0.2009205,0.020092050731182098
5,13_3-Methoxypropionic acid                                                                                                     ,0.49,0.49155036,0.17593406,0.01759340614080429
6,14_Thiirane                                                                                                                    ,0.44,0.4795429,0.15958855,0.01595885455608368
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.34,0.42592347,0.16443142,0.01644314229488373
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.41,0.47465977,0.16937155,0.01693715453147888
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.25,0.43459824,0.1614657,0.016146570444107056
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.48,0.50477785,0.17788033,0.017788033187389373
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",0.36,0.44724327,0.18354106,0.018354105949401855
12,"28_Nonane, 5-methylene-                                                                                                        ",0.29,0.4298711,0.15728688,0.015728688240051268
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.46,0.46950203,0.17001393,0.01700139343738556
14,"34_Butanal, 2-methyl-                                                                                                          ",0.44,0.4973279,0.17775398,0.01777539849281311
15,36_1-Penten-3-one                                                                                                              ,0.4,0.45128712,0.20390426,0.020390425622463227
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.47,0.47266522,0.18256614,0.01825661361217499
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.33,0.43510863,0.16248049,0.01624804884195328
18,42_Triethylamine                                                                                                               ,0.54,0.52385366,0.18994936,0.018994936347007753
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",0.39,0.4308921,0.18946421,0.018946421146392823
20,"54_Heptanal, 2-methyl-                                                                                                         ",0.31,0.4532772,0.17400645,0.017400644719600677
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.39,0.48150077,0.16825683,0.016825683414936066
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.36,0.44993207,0.19296531,0.01929653137922287
23,70_Trimethylene oxide                                                                                                          ,0.34,0.43187076,0.174602,0.017460200190544128
24,"74_1,4-Dioxane                                                                                                                 ",0.38,0.43975118,0.15648147,0.01564814746379852
25,"76_Ethane, methoxy-                                                                                                            ",0.46,0.4799634,0.18652932,0.01865293234586716
26,"80_Propionic acid, 2-mercapto-, allyl ester                                                                                    ",0.5,0.50440687,0.17826559,0.01782655864953995
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.54,0.51266026,0.15990886,0.015990886092185973
28,"83_Ethanamine, N-ethyl-                                                                                                        ",0.49,0.49554896,0.17520012,0.017520011961460115
29,"86_Silanediol, dimethyl-                                                                                                       ",0.45,0.4767273,0.15667151,0.015667150914669036
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.42,0.4604793,0.18265767,0.018265767395496367
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",0.46,0.47259304,0.16085151,0.016085150837898254
32,"100_Formic acid, butyl ester                                                                                                   ",0.35,0.44873074,0.18664317,0.018664316833019258
33,"101_1,3-Propanediol                                                                                                            ",0.38,0.44697013,0.16213195,0.01621319502592087
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.51,0.5140193,0.17824204,0.01782420426607132
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.48,0.474226,0.17124808,0.017124807834625243
36,110_2-Heptene                                                                                                                  ,0.45,0.48158368,0.17301738,0.017301738262176514
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.37,0.47144914,0.17150526,0.017150525748729707
38,"119_2-Pentanol, 2-methyl-                                                                                                      ",0.49,0.51207715,0.160593,0.016059300303459166
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",0.46,0.48738137,0.16236264,0.016236263513565063
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.37,0.447423,0.19477682,0.01947768181562424
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.48,0.48503533,0.17522097,0.017522096633911133
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.55,0.5331573,0.18278593,0.018278592824935914
43,132_Pyridine                                                                                                                   ,0.44,0.46455356,0.18627988,0.018627987802028657
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.53,0.53016007,0.20724723,0.020724722743034364
45,"135_Disulfide, dimethyl                                                                                                        ",0.39,0.45023772,0.18024485,0.018024484813213348
