VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
0,"1_2-Butenal, (Z)-                                                                                                              ",0.54,0.52719516,0.18347174,0.018347173929214478
1,"4_4,5-Dihydrooxazole-5-one, 4-[4-acetoxy-3-methoxybenzylidene]-2-phenyl-                                                       ",0.52,0.4993226,0.1762965,0.017629650235176087
2,6_Cyclopropyl methyl carbinol                                                                                                  ,0.59,0.52838063,0.1693024,0.016930240392684936
3,10_Benzene                                                                                                                     ,0.51,0.4969056,0.16909659,0.016909658908843994
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.51,0.5154023,0.16563956,0.016563956439495087
5,13_3-Methoxypropionic acid                                                                                                     ,0.5,0.5063033,0.18041594,0.018041594326496123
6,14_Thiirane                                                                                                                    ,0.49,0.50816494,0.18457067,0.018457067012786866
7,"17_Furan, 2,3-dihydro-4-methyl-                                                                                                ",0.51,0.5223655,0.16512378,0.0165123775601387
8,"18_Diborane(6), .mu.-mercapto-                                                                                                 ",0.49,0.5100931,0.19038047,0.01903804689645767
9,"19_Cyclohexane, (1,1-dimethylethyl)-                                                                                           ",0.61,0.5389587,0.18906134,0.018906134366989135
10,25_2-Oxo-6-(piperidine-1-sulfonyl)-benzooxazole-3-carboxylic acid 2-chloro-ethyl ester                                         ,0.62,0.53225327,0.18409634,0.01840963363647461
11,"26_2-Propanol, 1-methoxy-                                                                                                      ",0.44,0.4862381,0.17796028,0.017796027660369872
12,"28_Nonane, 5-methylene-                                                                                                        ",0.46,0.49096566,0.16535613,0.01653561294078827
13,"29_Disiloxane, hexamethyl-                                                                                                     ",0.52,0.5101672,0.16569942,0.016569942235946655
14,"34_Butanal, 2-methyl-                                                                                                          ",0.65,0.5564755,0.18982731,0.01898273080587387
15,36_1-Penten-3-one                                                                                                              ,0.64,0.5822189,0.19560151,0.019560150802135468
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.69,0.5778965,0.18260169,0.01826016902923584
17,40_tert-Butylpentamethyldisiloxane                                                                                             ,0.54,0.51405776,0.1743242,0.017432419955730437
18,42_Triethylamine                                                                                                               ,0.75,0.6416315,0.22291066,0.022291065752506257
19,"45_Pentane, 2,2,4-trimethyl-                                                                                                   ",0.5,0.4967418,0.17902365,0.017902365326881407
20,"54_Heptanal, 2-methyl-                                                                                                         ",0.45,0.4930807,0.18967614,0.018967613577842712
21,58_cis-1-Ethoxy-1-butene                                                                                                       ,0.63,0.5630012,0.18367727,0.018367727100849152
22,"61_2-Butanol, 3,3-dimethyl-4-dimethylamino-2-phenyl-                                                                           ",0.49,0.49977502,0.18232633,0.01823263317346573
23,70_Trimethylene oxide                                                                                                          ,0.55,0.5050412,0.17035379,0.017035378515720366
24,"74_1,4-Dioxane                                                                                                                 ",0.43,0.49261895,0.17880984,0.017880983650684357
25,"76_Ethane, methoxy-                                                                                                            ",0.56,0.5293571,0.19425012,0.019425012171268463
26,"80_Propionic acid, 2-mercapto-, allyl ester                                                                                    ",0.47,0.49813634,0.1740203,0.017402030527591705
27,"82_2-Cyclopenten-1-one, 3-methyl-                                                                                              ",0.45,0.4771491,0.1791105,0.017911049723625182
28,"83_Ethanamine, N-ethyl-                                                                                                        ",0.44,0.49789006,0.19402331,0.019402331113815306
29,"86_Silanediol, dimethyl-                                                                                                       ",0.52,0.50953066,0.18510903,0.018510903418064117
30,"88_Sulfurous acid, dimethyl ester                                                                                              ",0.52,0.50517577,0.1907099,0.01907099038362503
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",0.51,0.5095556,0.19261573,0.019261573255062104
32,"100_Formic acid, butyl ester                                                                                                   ",0.61,0.5189049,0.19247009,0.019247008860111235
33,"101_1,3-Propanediol                                                                                                            ",0.65,0.55737436,0.15823139,0.01582313925027847
34,"104_Ethane, 1,1-diethoxy-                                                                                                      ",0.58,0.5164077,0.16525896,0.016525895893573762
35,"107_Formic acid, 5-methylhex-2-yl ester                                                                                        ",0.55,0.52282,0.18862468,0.018862468004226685
36,110_2-Heptene                                                                                                                  ,0.46,0.50135076,0.16247623,0.016247622668743134
37,"117_Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-                                                                               ",0.6,0.52005595,0.16067937,0.01606793701648712
38,"119_2-Pentanol, 2-methyl-                                                                                                      ",0.47,0.4870247,0.16645361,0.016645361483097077
39,"120_Oxirane, 2-(1,1-dimethylethyl)-3-methyl-                                                                                   ",0.51,0.5235174,0.17948486,0.017948485910892487
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.76,0.6434813,0.19457468,0.019457468390464784
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.64,0.5739688,0.16958366,0.016958366334438323
42,"131_2-Butenal, 2-methyl-, (E)-                                                                                                 ",0.57,0.5470905,0.16579816,0.0165798157453537
43,132_Pyridine                                                                                                                   ,0.67,0.5766422,0.1992246,0.019922460615634918
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.71,0.62584627,0.22039612,0.022039611637592316
45,"135_Disulfide, dimethyl                                                                                                        ",0.49,0.5013232,0.19476826,0.01947682648897171
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.8,0.6759779,0.182085,0.018208500742912293
47,"147_Methanamine, N,N-difluoro-                                                                                                 ",0.46,0.50518566,0.18641505,0.018641504645347595
48,148_Propanoic acid                                                                                                             ,0.51,0.51443934,0.14117518,0.014117518067359924
49,155_Tetraethylammonium chloride                                                                                                ,0.46,0.4889392,0.16749825,0.016749824583530425
50,"160_Butanoic acid, 2-amino-4-(methylsulfinyl)-, (.+/-.)-                                                                       ",0.54,0.5089571,0.17042129,0.01704212874174118
51,"162_3-Hexene, 2,2-dimethyl-, (Z)-                                                                                              ",0.49,0.4821686,0.17575684,0.017575684189796447
52,172_Toluene                                                                                                                    ,0.49,0.5007491,0.18384458,0.018384458124637605
53,174_1-Methyl-1-ethoxycyclobutane                                                                                               ,0.49,0.51183254,0.17598729,0.017598728835582732
54,"176_Boron, trihydro(pyridine)-, (T-4)-                                                                                         ",0.5,0.4898764,0.16386132,0.016386131942272186
55,"180_1-Penten-3-one, 2-methyl-                                                                                                  ",0.59,0.53152716,0.183628,0.018362799286842348
56,"182_2,2,4,4-Tetramethyloctane                                                                                                  ",0.51,0.49712524,0.17822886,0.017822885513305665
57,"186_Butane, 2-cyclopropyl-                                                                                                     ",0.54,0.500442,0.18267073,0.01826707273721695
58,"194_D-Erythro-Tetrofuranose-3-ulose, 4-C-cyclopropyl-1,2-O-isopropylidene-, .alpha.-                                           ",0.49,0.5019387,0.17699304,0.017699304223060607
59,"203_1,3-Dioxolane, 2-ethyl-4-methyl-                                                                                           ",0.49,0.5028483,0.17586812,0.017586812376976013
60,214_Cyclopentanone                                                                                                             ,0.52,0.51146233,0.17508979,0.017508979141712188
61,"216_Propane, 1,3-dimethoxy-                                                                                                    ",0.56,0.53610635,0.19721109,0.01972110867500305
62,"217_1,3-Diisopropoxy-1,3-dimethyl-1,3-disilacyclobutane                                                                        ",0.58,0.5413388,0.18322016,0.018322016298770904
63,223_4-Ethylbenzamide                                                                                                           ,0.5,0.49917942,0.17482625,0.01748262494802475
64,"224_2-Methoxy-1,3-dioxolane                                                                                                    ",0.52,0.5020841,0.16456546,0.016456545889377595
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.64,0.5724953,0.18811838,0.01881183832883835
66,"227_Pipecolic acid, N-propoxycarbonyl-, dodecyl ester                                                                          ",0.54,0.5203152,0.20051228,0.020051227509975435
67,"228_Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-                                                               ",0.52,0.5121164,0.18248962,0.01824896186590195
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.66,0.6068045,0.21755049,0.021755048632621767
69,"232_Isovaleric acid, 3-methylbutyl-2 ester                                                                                     ",0.55,0.49678254,0.18156229,0.018156228959560393
