VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
259,875_4-n-Propylbenzoic acid                                                                                                     ,0.84,0.69914645,0.18052723
46,"137_2-Butenal, 2-methyl-                                                                                                       ",0.8,0.6759779,0.182085
40,"126_2,4-Pentadienenitrile                                                                                                      ",0.76,0.6434813,0.19457468
18,42_Triethylamine                                                                                                               ,0.75,0.6416315,0.22291066
134,"471_Hexanal, 2-ethyl-                                                                                                          ",0.73,0.6423116,0.19498716
164,"551_2-Methyl-1,6-dioxaspiro[4.4]nonane                                                                                         ",0.73,0.6137915,0.19270828
44,"133_Formic acid, 2-methylbutyl ester                                                                                           ",0.71,0.62584627,0.22039612
136,"474_2-Heptenal, (Z)-                                                                                                           ",0.7,0.62400675,0.18880841
142,"492_Pentadecane, 6-methyl-                                                                                                     ",0.7,0.58434975,0.19043289
144,496_(E)1-Allyl-2-methylcyclohexanol                                                                                            ,0.69,0.59487665,0.17792267
16,"38_Methoxyacetic acid, 2-tetrahydrofurylmethyl ester                                                                           ",0.69,0.5778965,0.18260169
88,291_Tetrafluoromethane                                                                                                         ,0.68,0.56971264,0.18310228
132,465_3-Ethyl-4-methylpentan-1-ol                                                                                                ,0.67,0.584424,0.20327182
43,132_Pyridine                                                                                                                   ,0.67,0.5766422,0.1992246
70,"234_Hexane, 2,2,4-trimethyl-                                                                                                   ",0.67,0.57270217,0.20775841
229,"752_Hexanoic acid, 2-ethyl-                                                                                                    ",0.67,0.5534042,0.17867148
181,"614_Butanedioic acid, dimethyl ester                                                                                           ",0.67,0.5354284,0.1919882
68,"230_3-Penten-2-one, 4-methyl-                                                                                                  ",0.66,0.6068045,0.21755049
222,"719_Heptanal, 7,7-dimethoxy-                                                                                                   ",0.66,0.5744516,0.19724767
414,"1472_Benzenecarbothioic acid, S-ethyl ester                                                                                    ",0.66,0.574147,0.18069255
314,"1103_Ethanone, 1-(2,3-dihydro-1H-inden-5-yl)-                                                                                  ",0.66,0.5482918,0.19020969
236,"784_1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol                                                            ",0.65,0.5665629,0.17680506
252,835_1-Nonanol                                                                                                                  ,0.65,0.5601697,0.19159967
33,"101_1,3-Propanediol                                                                                                            ",0.65,0.55737436,0.15823139
215,701_(+)-4-Carene                                                                                                               ,0.65,0.55734146,0.19032648
14,"34_Butanal, 2-methyl-                                                                                                          ",0.65,0.5564755,0.18982731
107,"360_3,5-Octanedione, 2,2,4,7-tetramethyl-                                                                                      ",0.65,0.55376154,0.19022872
249,"827_p-Acetophenetidide, N-methyl-                                                                                              ",0.65,0.54206073,0.14992568
15,36_1-Penten-3-one                                                                                                              ,0.64,0.5822189,0.19560151
41,"130_3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione                                                                                   ",0.64,0.5739688,0.16958366
65,"226_4-Hexen-3-one, 4-methyl-                                                                                                   ",0.64,0.5724953,0.18811838
225,732_Nonanal                                                                                                                    ,0.64,0.55573267,0.18064412
