Repeat,Outer_Seed,Config,Top_K,Penalty,Class_Weight,C,Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
0,42,A_Top200_L2_balanced,200,l2,balanced,0.1,0.5399999999999999,0.6363636363635785,0.9523809523809071,0.8749999999998906,0.8333333333332986,0.84375,0.7943722943722944,0.7368421052631579,0.8528138528138528
0,42,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5049999999999999,0.6363636363635785,0.9047619047618618,0.7777777777776913,0.8260869565217033,0.8125,0.7705627705627706,0.7,0.8831168831168831
0,42,C_Top300_L2_none,300,l2,None,0.1,0.32499999999999996,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.8571428571428571
1,1042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.25999999999999995,0.9090909090908265,0.6190476190475896,0.5555555555555247,0.9285714285713622,0.71875,0.7640692640692641,0.6896551724137931,0.8787878787878788
1,1042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.25499999999999995,0.9090909090908265,0.5714285714285443,0.5263157894736565,0.9230769230768521,0.6875,0.7402597402597402,0.6666666666666666,0.8831168831168832
1,1042,C_Top300_L2_none,300,l2,None,0.1,0.4149999999999999,0.7272727272726611,0.809523809523771,0.6666666666666111,0.8499999999999576,0.78125,0.7683982683982684,0.6956521739130435,0.8787878787878788
2,2042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.3449999999999999,0.8181818181817438,0.5238095238094989,0.4736842105262909,0.8461538461537811,0.625,0.670995670995671,0.6,0.7835497835497837
2,2042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.43499999999999994,0.8181818181817438,0.666666666666635,0.5624999999999649,0.8749999999999454,0.71875,0.7424242424242424,0.6666666666666666,0.787878787878788
2,2042,C_Top300_L2_none,300,l2,None,0.1,0.38999999999999996,0.8181818181817438,0.666666666666635,0.5624999999999649,0.8749999999999454,0.71875,0.7424242424242424,0.6666666666666666,0.8138528138528138
3,3042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.43999999999999995,0.8181818181817438,0.809523809523771,0.692307692307639,0.8947368421052162,0.8125,0.8138528138528138,0.75,0.8874458874458875
3,3042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.37999999999999995,0.8181818181817438,0.7619047619047257,0.6428571428570969,0.8888888888888395,0.78125,0.7900432900432901,0.72,0.8658008658008658
3,3042,C_Top300_L2_none,300,l2,None,0.1,0.5299999999999999,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.8744588744588745
4,4042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.22999999999999998,0.7272727272726611,0.47619047619045357,0.42105263157892525,0.7692307692307101,0.5625,0.6017316017316017,0.5333333333333333,0.7359307359307359
4,4042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.285,0.7272727272726611,0.5714285714285443,0.47058823529409,0.7999999999999466,0.625,0.6493506493506493,0.5714285714285714,0.7402597402597402
4,4042,C_Top300_L2_none,300,l2,None,0.1,0.30999999999999994,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.7402597402597402
5,5042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.6849999999999999,0.45454545454541323,0.809523809523771,0.5555555555554939,0.7391304347825766,0.6875,0.6320346320346321,0.5,0.7532467532467533
5,5042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.575,0.5454545454544959,0.7619047619047257,0.5454545454544959,0.7619047619047257,0.6875,0.6536796536796536,0.5454545454545454,0.7965367965367965
5,5042,C_Top300_L2_none,300,l2,None,0.1,0.49999999999999994,0.45454545454541323,0.809523809523771,0.5555555555554939,0.7391304347825766,0.6875,0.6320346320346321,0.5,0.7748917748917749
6,6042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.43999999999999995,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7575757575757576
