Top_K,Penalty,Class_Weight,C,Selection_Count,Selection_Frequency
250,l2,balanced,0.1,5,0.16666666666666666
300,l2,,0.1,4,0.13333333333333333
250,l1,balanced,1.0,3,0.1
150,l1,balanced,0.1,2,0.06666666666666667
150,l1,balanced,1.0,1,0.03333333333333333
150,l1,balanced,10.0,1,0.03333333333333333
150,l2,balanced,100.0,1,0.03333333333333333
150,l2,,0.1,1,0.03333333333333333
200,l1,,1.0,1,0.03333333333333333
200,l2,balanced,0.1,1,0.03333333333333333
200,l2,balanced,1.0,1,0.03333333333333333
200,l2,,0.1,1,0.03333333333333333
200,l2,,10.0,1,0.03333333333333333
250,l2,balanced,0.01,1,0.03333333333333333
250,l2,,0.1,1,0.03333333333333333
300,l1,,1.0,1,0.03333333333333333
300,l1,,100.0,1,0.03333333333333333
300,l2,balanced,0.1,1,0.03333333333333333
300,l2,,0.01,1,0.03333333333333333
300,l2,,1.0,1,0.03333333333333333
