Repeat,Outer_Seed,Top_K,Penalty,Class_Weight,C,Threshold,Inner_Best_F1,Inner_Threshold_Accuracy,Inner_Threshold_F1,Selected_Features,Nonzero_Coefficients,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
0,42,300,l2,None,0.1,0.32499999999999996,0.5691084216780812,0.6377952755905512,0.5818181818181818,300,300,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.8571428571428571
1,1042,250,l2,balanced,0.01,0.5199999999999999,0.6641309155241044,0.7086614173228346,0.5747126436781609,250,250,0.5454545454544959,0.7619047619047257,0.5454545454544959,0.7619047619047257,0.6875,0.6536796536796536,0.5454545454545454,0.8138528138528138
2,2042,200,l2,None,10.0,0.05,0.6465359477124182,0.6456692913385826,0.5945945945945946,200,200,0.8181818181817438,0.4285714285714082,0.4285714285714082,0.8181818181817438,0.5625,0.6233766233766234,0.5625,0.774891774891775
3,3042,250,l1,balanced,1.0,0.185,0.6225062656641603,0.5826771653543307,0.5826771653543307,250,59,0.8181818181817438,0.7142857142856803,0.59999999999996,0.8823529411764188,0.75,0.7662337662337663,0.6923076923076923,0.8701298701298701
4,4042,300,l2,balanced,0.1,0.27999999999999997,0.6055555555555555,0.6377952755905512,0.603448275862069,300,300,0.7272727272726611,0.4285714285714082,0.39999999999998004,0.7499999999999375,0.53125,0.577922077922078,0.5161290322580645,0.7402597402597402
5,5042,200,l2,balanced,1.0,0.6499999999999999,0.6622222222222222,0.7952755905511811,0.6904761904761905,200,200,0.6363636363635785,0.7619047619047257,0.5833333333332847,0.7999999999999601,0.71875,0.699134199134199,0.6086956521739131,0.735930735930736
6,6042,150,l1,balanced,1.0,0.20499999999999996,0.5640092879256966,0.6456692913385826,0.5945945945945946,150,37,0.7272727272726611,0.7619047619047257,0.615384615384568,0.8421052631578505,0.75,0.7445887445887446,0.6666666666666666,0.8225108225108225
7,7042,200,l2,None,0.1,0.3449999999999999,0.6664705882352941,0.7322834645669292,0.6730769230769231,200,200,0.5454545454544959,0.6190476190475896,0.42857142857139796,0.7222222222221821,0.59375,0.5822510822510822,0.48,0.7532467532467533
8,8042,150,l2,None,0.1,0.43499999999999994,0.7164565826330532,0.7559055118110236,0.6593406593406593,150,150,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.7056277056277056
9,9042,250,l2,balanced,0.1,0.565,0.6945906432748538,0.7952755905511811,0.6976744186046512,250,250,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.6796536796536796
10,10042,200,l1,None,1.0,0.6599999999999999,0.6095906432748537,0.7716535433070866,0.6233766233766234,200,50,0.18181818181816528,0.7619047619047257,0.2857142857142449,0.6399999999999745,0.5625,0.47186147186147187,0.2222222222222222,0.6233766233766234
11,11042,250,l1,balanced,1.0,0.33999999999999997,0.7002020202020202,0.7559055118110236,0.6868686868686869,250,54,0.8181818181817438,0.7619047619047257,0.6428571428570969,0.8888888888888395,0.78125,0.7900432900432901,0.72,0.7662337662337664
12,12042,150,l1,balanced,0.1,0.48499999999999993,0.667141382868937,0.6692913385826772,0.6379310344827587,150,16,0.7272727272726611,0.7142857142856803,0.5714285714285307,0.8333333333332871,0.71875,0.7207792207792207,0.64,0.7272727272727273
13,13042,250,l2,balanced,0.1,0.5149999999999999,0.5985380116959064,0.7401574803149606,0.6024096385542169,250,250,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.8441558441558441
14,14042,300,l2,None,0.1,0.4799999999999999,0.6162210338680926,0.7874015748031497,0.6823529411764706,300,300,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7272727272727273
15,15042,250,l2,None,0.1,0.5149999999999999,0.6948646125116712,0.7637795275590551,0.6428571428571429,250,250,0.5454545454544959,0.6190476190475896,0.42857142857139796,0.7222222222221821,0.59375,0.5822510822510822,0.48,0.6406926406926406
